cylinders,displacement,horsepower,weight,acceleration,VIN
4,140,92,2572,14.9,ZYQSMRCMZJU304197
4,97,88,2279,19,IMSEPJHQABJ448202
6,225,100,3233,15.4,WESQYTFONLR448872
8,350,175,4100,13,RIDEUBVWYTD290040
4,97,54,2254,23.5,ALDXSJAWBBR675284
4,97,78,1940,14.5,OZPXDYQKMAB341123
4,90,75,2125,14.5,ZIVWPXDJTWF495197
4,71,65,1836,21,RZLSGRGRKFX287345
8,305,145,3425,13.2,GESVMQXXXUO344055
8,302,130,4295,14.9,AGIOUXVNTPF497803
6,232,100,3288,15.5,GGVBTSMXMBX562753
4,156,105,2745,16.7,OSAWHYOOBEK592671
8,350,170,4165,11.4,EZEHMALWYKR893959
6,250,78,3574,21,WXETBUQSLTL560301
8,304,150,3672,11.5,VHKQPIDAJQP914571
4,79,70,2074,19.5,YPLWITBMRLC809934
8,350,125,3900,17.4,RUESXDIJKDK722294
5,183,77,3530,20.1,TNIDQUDLJCY108955
4,98,65,2380,20.7,GVGDQKGTVBB402678
8,318,150,4237,14.5,QDCNJSLYHWO338443
4,112,88,2640,18.6,XBQLOOOOZCV531848
4,90,70,1937,14.2,NVCWIZGVHUC137458
4,91,60,1800,16.4,HBRFHEAJXCO651236
6,250,100,3278,18,GTXOPNKFTWA550855
8,400,190,4422,12.5,OLQFOHWOFQM126778
6,231,110,3415,15.8,NGTWMZZVIRV838313
4,97,75,2171,16,OYCZODMUDNA826559
4,121,115,2795,15.7,DLROCSXKRLP378191
4,122,88,2500,15.1,SZNRTDQRKUY691582
6,163,125,3140,13.6,XUYNQXYNZTZ629685
8,350,145,4440,14,MXVCODGZRCD692971
8,351,152,4215,12.8,UMDZUWTPUOU610046
8,400,150,4997,14,HFPJQGWIAWM147295
8,455,225,4425,10,ALPFRZEUVMY343273
6,225,90,3381,18.7,FFPUXDJFZPF715607
4,151,90,2670,16,CGHIHAQZZSO460265
4,140,88,2720,15.4,OAWUYXLVMHR607061
3,70,90,2124,13.5,ANMSBZWZUJD967991
4,113,95,2278,15.5,OKDJRHRYUXA942309
6,200,95,3155,18.2,MPEMKTUNJEB395679
8,304,150,3892,12.5,KGJBWQMRPVR857723
8,351,158,4363,13,NOIWBYDNZZZ931973
6,232,90,3211,17,FLZISMWYPRZ913368
4,72,69,1613,18,OUVTHAAXGBN204333
4,111,80,2155,14.8,NNPFZVQGXJR195474
4,107,86,2464,15.5,YSBQALIZPBM839488
4,86,65,1975,15.2,KHYUBSFZABO168242
4,90,71,2223,16.5,WDGTLFLPFUK263576
4,140,72,2408,19,CEYQHGDIDHX388466
8,302,140,4638,16,MCCQSAZGVNE530335
6,258,110,2962,13.5,NHMZZAPDIBL537462
8,318,150,4077,14,BZEVBNOBBNU839481
4,97,67,2065,17.8,CDQGNHXFKOF647840
4,86,65,2019,16.4,DFKSAYOLWCT362857
4,98,83,2219,16.5,GPZZSWNJEIZ207247
6,225,105,3121,16.5,CKECUYLOIHU254366
4,68,49,1867,19.5,AMODTVSSSTH510604
4,97.5,80,2126,17,QPFYNFPUZUL606888
4,98,68,2135,16.6,LEXQJOFKYEN309272
8,305,145,3880,12.5,ICQELXHSZAV821802
4,90,70,1937,14,KFPLBRGHQIN204708
4,107,72,2290,17,YGEQSRJKYAV875423
6,146,120,2930,13.8,VDQHUIYMGQU330912
6,168,120,3820,16.7,QDOOPMCEDQE323464
4,140,90,2408,19.5,GRCFLPZEWPX722793
6,250,100,3336,17,YEYKNHUBGRV111588
4,140,75,2542,17,GJNAIOXHNPB726652
4,116,90,2123,14,VIPQYRNCJYP858046
4,151,90,2735,18,DNNOCBXUHVS765273
8,267,125,3605,15,ZNMUXNKWCDO639367
8,302,140,4294,16,MXRGOOCSRQB372876
6,225,105,3613,16.5,FYFTJLAXYCZ381764
8,307,130,4098,14,ZVKADFGOOLG106322
4,140,72,2565,13.6,SDPZSAHRFOV913961
4,121,110,2600,12.8,FMZSVYYVZTG152494
4,108,93,2391,15.5,UDZXXOVHTUX100647
8,400,175,5140,12,VEDLYJEFDZB844887
8,318,210,4382,13.5,BJRYFDTHBSW729698
4,140,88,2890,17.3,GDQPALANVMZ626671
4,108,94,2379,16.5,EIYOKPOBQUD284133
4,101,83,2202,15.3,SSIQDYJHUWH294269
6,250,98,3525,19,DNZZRCPRANJ169140
4,156,105,2800,14.4,CFBXUOOLKJF769717
8,350,155,4502,13.5,AMZPLELJAXN917162
4,119,97,2405,14.9,CRKALGAFBQW823879
4,140,78,2592,18.5,ZMSRXSUCPPE953891
4,119,100,2615,14.8,RQWNBWAQSFR285732
8,360,215,4615,14,INUVRWYQVXJ530764
6,232,90,3210,17.2,NIGCRHEHAQN290639
8,318,150,4135,13.5,MKUDUBHCMJZ326289
4,88,76,2065,14.5,PPISBOWQSLI620838
4,79,67,1950,19,IFWOLWDGNYQ642022
4,121,112,2933,14.5,XDCDDALPKKT878278
4,121,115,2671,13.5,ZDDTCSNEWNH141355
4,97,88,2130,14.5,UEVGNHPHLMM817794
4,112,88,2395,18,AGJQJOFDYOY712770
4,151,90,2556,13.2,ZAKCIDZEHIV802003
8,440,215,4735,11,NTCBJSMHSTA893998
8,318,150,3399,11,CIPZWDRUGHE581728
8,318,150,4096,13,JFXQHTYWCTK353972
4,134,90,2711,15.5,IFOZOEURTOP807446
4,121,98,2945,14.5,BTZIDZQQDSD967649
8,383,170,3563,10,LILUNUPFQEX483254
4,116,75,2246,14,JXFDCDMBHAV156314
4,91,53,1795,17.4,PMDHSPXCSDD308150
4,107,75,2210,14.4,YKOWLHMVEPK905086
6,200,85,3070,16.7,YHYXCJHAGIH460275
6,231,115,3245,15.4,NOGFMDUNRCV239342
4,134,96,2702,13.5,FAOTGOVTTVA531841
4,98,79,2255,17.7,YJFSWVYFIDA130790
6,200,85,2965,15.8,UXVHUWXCVOB202321
6,198,95,2904,16,YWKKYDMZXTS435776
4,122,80,2451,16.5,XRICSCWDYFQ571283
4,108,75,2265,15.2,WPRGDCUMZFD740489
8,304,150,4257,15.5,PNJMZVHCCZK382539
4,107,90,2430,14.5,BYWOAHUNBJR350881
8,350,180,4499,12.5,LLXFPORCWXX447065
6,225,105,3439,15.5,MCRPIUJKYHH325669
8,400,190,4325,12.2,HVRJTWBPWFW736518
8,351,148,4657,13.5,VIRAUKFGHZT710156
6,225,110,3620,18.7,RSGXMOPHDZE918047
4,98,90,2265,15.5,RNHLDVWJOJF895473
4,140,89,2755,15.8,FVGEPJSZIVQ512622
8,400,170,4668,11.5,FQKEIQMRIQB485772
4,98,83,2075,15.9,RJFKTTUBAWA894366
8,350,165,4274,12,QHWTGSWFFJY723501
8,304,120,3962,13.9,PMIULXLWFSU153484
8,350,160,4456,13.5,XOLZJUUWVRI386824
4,122,86,2220,14,UOCFXPOKHFV138522
6,200,88,3060,17.1,MGCAWFNGDVI457038
4,97,92,2288,17,XAHKZZXYFYX595073
8,360,175,3821,11,LHMYMHWPMJO759084
4,140,72,2401,19.5,RKYTIMTXATH524702
8,302,139,3570,12.8,CQFOMXVVNMX918033
4,85,70,1990,17,YQHGBXCQDAA242514
6,173,110,2725,12.6,ALENCUXLPSG781597
8,350,155,4360,14.9,XFVGIOKLHYC118180
8,429,198,4952,11.5,ZXTMAFPIHTU921049
6,231,110,3907,21,SYHTSZAEACH699381
4,121,80,2670,15,WRNNLELWHEJ215273
4,140,90,2264,15.5,KLCXPAAQVLO413718
8,318,145,4140,13.7,GGXUTBKQJEK780070
6,198,95,3102,16.5,VYEVRKBDURJ298934
4,91,53,1795,17.5,BLJNJVOTRNT468701
4,97,71,1825,12.2,GXKIGWIGMBE388864
8,350,145,4055,12,KIMBCEQLKDB184227
4,85,65,2020,19.2,UIAUONTRVTJ464311
4,121,112,2868,15.5,LVLSONHMGVM178429
8,454,220,4354,9,WXEMQNUFYTW306294
4,79,58,1755,16.9,KRGGTKNFRYN427768
6,225,110,3360,16.6,DRIWHUMIUUD119178
6,258,95,3193,17.8,DFCDZUYUIGM138502
8,262,110,3221,13.5,ZVUUZGBPQVB778850
8,360,170,4654,13,XXSBWSBPBRI981640
8,350,145,4082,13,DNWAHVEUQRF262945
6,232,100,2789,15,FNRTZORRAIK639989
6,163,133,3410,15.8,ZWCPPKNSSMB858527
8,302,140,3449,10.5,XONHDFPMIPN500301
4,116,81,2220,16.9,FYNMVXMMYBG378814
4,97,67,2145,18,FZLFGWRULLJ467942
4,113,95,2228,14,CECQANHUJEY728188
4,121,76,2511,18,DFPMYIJNNAQ872327
8,318,140,3735,13.2,AOTTWESUBSN324016
4,81,60,1760,16.1,YDDSBYTJQAW552395
6,199,90,2648,15,CKUINJWTMUJ311187
4,90,75,2108,15.5,SJKSKYZKHOS925302
5,121,67,2950,19.9,HYVAJXVALVM364591
6,198,95,2833,15.5,XFFQFVPJXIR296817
6,232,100,2634,13,OFDPABQKMWL160478
4,90,48,2085,21.7,UENRPHAHBCE597508
8,400,180,4220,11.1,NIDVPXOGOAE588317
4,122,86,2226,16.5,FWEMBGUTLMD825297
8,455,225,4951,11,ZKNXDNAULCL806285
6,232,100,2914,16,ZBEKHIFGZRW418186
4,98,68,2155,16.5,TFCVOXERGRF720771
6,173,115,2700,12.9,BEMWVOVKSEB168465
6,250,100,3781,17,RPQQDVKIBZR887672
6,250,100,3329,15.5,TGWLKTYDARY361926
4,114,91,2582,14,HNYNZEZQWAI193835
6,250,105,3353,14.5,GDOCJHJSIVO195675
4,122,85,2310,18.5,PVYKTBHKMSZ444775
4,108,75,2350,16.8,XHVBYTJOXKT180421
8,390,190,3850,8.5,IBDWEXKRRVL755262
8,302,140,4141,14,UDFBTWMXPEF309392
6,168,132,2910,11.4,IRCYBCJFSWA115035
8,318,150,4498,14.5,GILTBRESLIV232030
4,119,92,2434,15,WTECLQFFDXZ704319
8,350,165,3693,11.5,ALJSESVQJDX401990
8,318,150,3777,12.5,MWTLYFXHCKR263818
4,122,86,2395,16,LORHVPZMFLR260781
4,98,68,2045,18.5,OGYNGUUNLOO525697
4,71,65,1773,19,RQOGZHMGODU135863
4,85,65,1975,19.4,QWBRCYFWVCT272518
8,318,140,4080,13.7,MYKHPQCBMWS734275
4,122,96,2300,15.5,RCSLPOTIPOZ873287
8,302,137,4042,14.5,STGFTKKIESH463216
4,121,113,2234,12.5,JURCKCZJIFU554407
6,250,105,3897,18.5,YEJNGGTRBBE907917
6,200,81,3012,17.6,TQTVHUYGBAR557017
4,78,52,1985,19.4,NPYPPOPBKKX122485
6,200,85,2990,18.2,MPSDMMGLLSX360149
4,120,87,2979,19.5,TNXGWTAWVTC314243
4,135,84,2385,12.9,GVXUQRAIKDH892200
8,350,165,4209,12,NDITWCWHUSI597508
6,225,100,3651,17.7,IVAWRHVAMEP109035
4,151,84,2635,16.4,HRXRCVZFCJO279877
4,135,84,2525,16,VCTJXTBXRMH197057
8,260,110,4060,19,ONYMNRTIRDM274726
8,400,230,4278,9.5,XKZLEEOALNO539743
4,151,90,3003,20.1,YWMDVUJZTLN922977
4,79,67,2000,16,OOVPPIZTUQH706723
4,135,84,2490,15.7,JRHBFKJOFYN927622
8,400,167,4906,12.5,UWIHAHJFSZM304122
4,97,67,1985,16.4,TJCVTIPEYMX363141
4,121,110,2660,14,OJQIWAEBKUL420280
4,97,78,2300,14.5,OGZLWGMSHIP766501
6,250,72,3432,21,OAGPEIUSFQI570205
4,89,71,1990,14.9,UBQZMTBZUHU707903
6,168,116,2900,12.6,FOUUIANRTYY461164
4,79,58,1825,18.6,ETVWHNTRUEW434453
4,151,90,2678,16.5,IFJKYRAWBKY250851
4,112,88,2605,19.6,PTOJODBQJVG213859
4,140,88,2870,18.1,UUKUBHXDCYU341198
4,112,85,2575,16.2,JFQCJOYHZXK547933
8,351,149,4335,14.5,LSSOOSSIJWR307914
8,304,150,3433,12,JEVSUOJJHDE222245
4,97,60,1834,19,AJZFZSKSGGU175748
6,231,105,3380,15.8,FQNIQYVTUGT209906
8,260,90,3420,22.2,HEAQXIQDCZP506014
8,304,150,3672,11.5,NHOHVCWENPP292070
4,98,80,1915,14.4,IIXUDCLKXRH900446
8,351,153,4154,13.5,TNPMFSSFFAR767143
4,120,97,2506,14.5,AIDAXUUPZZC928390
8,318,150,3436,11,CYTHCMLOQJD939126
4,98,76,2144,14.7,CPRWJLIOBWA255003
4,97,88,2130,14.5,TKJOPWZTLPU101419
8,340,160,3609,8,CQYXHBAMOML162891
6,220,100,3000,13.1,CQYXHBXIUML162891
8,320,150,2436,11,LSSOOSSIJWR307876
8,100,170,3200,11.1,EEUOOSSIJWR307888
6,342,116,3444,14.5,AIDAGHJPZZC928543
4,117,89,3001,16,OJQIWFGHKUL420409
6,199,91,3667,18.2,FMEMGUGOLMD825297
6,183,189,3610,15.8,UWIHASAMVEM308872
6,288,111,3120,16.6,TNXDRLOVVTC314870
8,218,180,2900,11,JRHHHNJOFYN927104
8,320,170,3090,19,TKJOPWZTIKO101000
