VIN,model year,origin
QGPTMLZUENM518188,77,1
UFQIJSVSDMB571367,78,1
VZMYCQADEGZ147372,78,1
ODIFNPFTZLQ899552,73,3
XILAPYHOGRZ576068,80,3
RJEQILAAFPE914624,72,1
OJHOIFDQVSS430345,72,1
QPJMSFIBLEJ759236,80,3
ASDTXIMSFTT869028,76,3
RJVGFPYRBJT150475,77,1
LIRPAJDRNGX455689,70,3
EVZGQGNAKEW829207,71,1
ZEVDPBHKGXL146423,77,1
YPUITOAALBM498308,81,1
BNERYYNVQWD676383,76,1
CZFUGEYDTCL300707,79,1
GZYSDPDZUQR856328,73,1
YPHPIKXBDSQ626477,80,2
ZYQSMRCMZJU304197,76,1
IMSEPJHQABJ448202,73,3
WESQYTFONLR448872,76,1
RIDEUBVWYTD290040,73,1
ALDXSJAWBBR675284,72,2
OZPXDYQKMAB341123,77,2
ZIVWPXDJTWF495197,74,1
RZLSGRGRKFX287345,74,3
GESVMQXXXUO344055,78,1
AGIOUXVNTPF497803,77,1
GGVBTSMXMBX562753,71,1
OSAWHYOOBEK592671,78,1
EZEHMALWYKR893959,77,1
WXETBUQSLTL560301,76,1
VHKQPIDAJQP914571,73,1
YPLWITBMRLC809934,71,2
RUESXDIJKDK722294,79,1
TNIDQUDLJCY108955,79,2
GVGDQKGTVBB402678,81,1
QDCNJSLYHWO338443,73,1
XBQLOOOOZCV531848,82,1
NVCWIZGVHUC137458,76,2
HBRFHEAJXCO651236,78,3
GTXOPNKFTWA550855,73,1
OLQFOHWOFQM126778,72,1
NGTWMZZVIRV838313,81,1
OYCZODMUDNA826559,75,3
DLROCSXKRLP378191,78,2
SZNRTDQRKUY691582,80,2
XUYNQXYNZTZ629685,78,2
MXVCODGZRCD692971,75,1
UMDZUWTPUOU610046,76,1
HFPJQGWIAWM147295,73,1
ALPFRZEUVMY343273,70,1
FFPUXDJFZPF715607,80,1
CGHIHAQZZSO460265,79,1
OAWUYXLVMHR607061,78,1
ANMSBZWZUJD967991,73,3
OKDJRHRYUXA942309,72,3
MPEMKTUNJEB395679,78,1
KGJBWQMRPVR857723,72,1
NOIWBYDNZZZ931973,73,1
FLZISMWYPRZ913368,75,1
OUVTHAAXGBN204333,71,3
NNPFZVQGXJR195474,77,1
YSBQALIZPBM839488,76,2
KHYUBSFZABO168242,79,3
WDGTLFLPFUK263576,75,2
CEYQHGDIDHX388466,71,1
MCCQSAZGVNE530335,74,1
NHMZZAPDIBL537462,71,1
BZEVBNOBBNU839481,72,1
CDQGNHXFKOF647840,81,3
DFKSAYOLWCT362857,80,3
GPZZSWNJEIZ207247,74,2
CKECUYLOIHU254366,73,1
AMODTVSSSTH510604,73,2
QPFYNFPUZUL606888,72,1
LEXQJOFKYEN309272,78,3
ICQELXHSZAV821802,77,1
KFPLBRGHQIN204708,75,2
YGEQSRJKYAV875423,80,3
VDQHUIYMGQU330912,81,3
QDOOPMCEDQE323464,76,2
GRCFLPZEWPX722793,72,1
YEYKNHUBGRV111588,74,1
GJNAIOXHNPB726652,74,1
VIPQYRNCJYP858046,71,2
DNNOCBXUHVS765273,82,1
ZNMUXNKWCDO639367,79,1
MXRGOOCSRQB372876,72,1
FYFTJLAXYCZ381764,74,1
ZVKADFGOOLG106322,72,1
SDPZSAHRFOV913961,76,1
FMZSVYYVZTG152494,77,2
UDZXXOVHTUX100647,74,3
VEDLYJEFDZB844887,71,1
BJRYFDTHBSW729698,70,1
GDQPALANVMZ626671,79,1
EIYOKPOBQUD284133,73,3
SSIQDYJHUWH294269,76,2
DNZZRCPRANJ169140,77,1
CFBXUOOLKJF769717,80,1
AMZPLELJAXN917162,72,1
CRKALGAFBQW823879,78,3
ZMSRXSUCPPE953891,75,1
RQWNBWAQSFR285732,81,3
INUVRWYQVXJ530764,70,1
NIGCRHEHAQN290639,78,1
MKUDUBHCMJZ326289,72,1
PPISBOWQSLI620838,71,2
IFWOLWDGNYQ642022,74,3
XDCDDALPKKT878278,72,2
ZDDTCSNEWNH141355,75,2
UEVGNHPHLMM817794,70,3
AGJQJOFDYOY712770,82,1
ZAKCIDZEHIV802003,79,1
NTCBJSMHSTA893998,73,1
CIPZWDRUGHE581728,73,1
JFXQHTYWCTK353972,71,1
IFOZOEURTOP807446,80,3
BTZIDZQQDSD967649,75,2
LILUNUPFQEX483254,70,1
JXFDCDMBHAV156314,74,2
PMDHSPXCSDD308150,76,3
YKOWLHMVEPK905086,81,3
YHYXCJHAGIH460275,78,1
NOGFMDUNRCV239342,79,1
FAOTGOVTTVA531841,75,3
YJFSWVYFIDA130790,76,1
UXVHUWXCVOB202321,78,1
YWKKYDMZXTS435776,73,1
XRICSCWDYFQ571283,74,1
WPRGDCUMZFD740489,80,3
PNJMZVHCCZK382539,74,1
BYWOAHUNBJR350881,70,2
LLXFPORCWXX447065,73,1
MCRPIUJKYHH325669,71,1
HVRJTWBPWFW736518,77,1
VIRAUKFGHZT710156,75,1
RSGXMOPHDZE918047,78,1
RNHLDVWJOJF895473,73,2
FVGEPJSZIVQ512622,77,1
FQKEIQMRIQB485772,75,1
RJFKTTUBAWA894366,77,1
QHWTGSWFFJY723501,72,1
PMIULXLWFSU153484,76,1
XOLZJUUWVRI386824,72,1
UOCFXPOKHFV138522,71,1
MGCAWFNGDVI457038,81,1
XAHKZZXYFYX595073,72,3
LHMYMHWPMJO759084,73,1
RKYTIMTXATH524702,73,1
CQFOMXVVNMX918033,78,1
YQHGBXCQDAA242514,76,3
ALENCUXLPSG781597,81,1
XFVGIOKLHYC118180,79,1
ZXTMAFPIHTU921049,73,1
SYHTSZAEACH699381,75,1
WRNNLELWHEJ215273,79,1
KLCXPAAQVLO413718,71,1
GGXUTBKQJEK780070,77,1
VYEVRKBDURJ298934,74,1
BLJNJVOTRNT468701,75,3
GXKIGWIGMBE388864,76,2
KIMBCEQLKDB184227,76,1
UIAUONTRVTJ464311,79,3
LVLSONHMGVM178429,73,2
WXEMQNUFYTW306294,70,1
KRGGTKNFRYN427768,81,3
DRIWHUMIUUD119178,79,1
DFCDZUYUIGM138502,76,1
ZVUUZGBPQVB778850,75,1
XXSBWSBPBRI981640,73,1
DNWAHVEUQRF262945,73,1
FNRTZORRAIK639989,73,1
ZWCPPKNSSMB858527,78,2
XONHDFPMIPN500301,70,1
FYNMVXMMYBG378814,76,2
FZLFGWRULLJ467942,80,3
CECQANHUJEY728188,71,3
DFPMYIJNNAQ872327,72,2
AOTTWESUBSN324016,78,1
YDDSBYTJQAW552395,81,3
CKUINJWTMUJ311187,70,1
SJKSKYZKHOS925302,74,2
HYVAJXVALVM364591,80,2
XFFQFVPJXIR296817,70,1
OFDPABQKMWL160478,71,1
UENRPHAHBCE597508,80,2
NIDVPXOGOAE588317,77,1
FWEMBGUTLMD825297,72,1
ZKNXDNAULCL806285,73,1
ZBEKHIFGZRW418186,75,1
TFCVOXERGRF720771,78,1
BEMWVOVKSEB168465,79,1
RPQQDVKIBZR887672,74,1
TGWLKTYDARY361926,71,1
HNYNZEZQWAI193835,73,2
GDOCJHJSIVO195675,76,1
PVYKTBHKMSZ444775,73,1
XHVBYTJOXKT180421,81,3
IBDWEXKRRVL755262,70,1
UDFBTWMXPEF309392,74,1
IRCYBCJFSWA115035,80,3
GILTBRESLIV232030,75,1
WTECLQFFDXZ704319,80,3
ALJSESVQJDX401990,70,1
MWTLYFXHCKR263818,73,1
LORHVPZMFLR260781,72,1
OGYNGUUNLOO525697,77,3
RQOGZHMGODU135863,71,3
QWBRCYFWVCT272518,81,3
MYKHPQCBMWS734275,78,1
RCSLPOTIPOZ873287,77,1
STGFTKKIESH463216,73,1
JURCKCZJIFU554407,70,2
YEJNGGTRBBE907917,75,1
TQTVHUYGBAR557017,76,1
NPYPPOPBKKX122485,78,3
MPSDMMGLLSX360149,79,1
TNXGWTAWVTC314243,72,2
GVXUQRAIKDH892200,81,1
NDITWCWHUSI597508,71,1
IVAWRHVAMEP109035,76,1
HRXRCVZFCJO279877,81,1
VCTJXTBXRMH197057,82,1
ONYMNRTIRDM274726,77,1
XKZLEEOALNO539743,73,1
YWMDVUJZTLN922977,80,1
OOVPPIZTUQH706723,74,2
JRHBFKJOFYN927622,81,1
UWIHAHJFSZM304122,73,1
TJCVTIPEYMX363141,77,3
OJQIWAEBKUL420280,73,2
OGZLWGMSHIP766501,74,2
OAGPEIUSFQI570205,75,1
UBQZMTBZUHU707903,78,2
FOUUIANRTYY461164,81,3
ETVWHNTRUEW434453,77,2
IFJKYRAWBKY250851,80,1
PTOJODBQJVG213859,82,1
UUKUBHXDCYU341198,80,1
JFQCJOYHZXK547933,82,1
LSSOOSSIJWR307914,77,1
JEVSUOJJHDE222245,70,1
AJZFZSKSGGU175748,71,2
FQNIQYVTUGT209906,78,1
HEAQXIQDCZP506014,79,1
NHOHVCWENPP292070,72,1
IIXUDCLKXRH900446,79,1
TNPMFSSFFAR767143,71,1
AIDAXUUPZZC928390,72,3
CYTHCMLOQJD939126,70,1
CPRWJLIOBWA255003,80,2
TKJOPWZTLPU101419,71,3
CQYXHBAMOML162891,70,1
CYTYYULOQJD939126,63,2
JSMSUOJJHDE222245,70,1
PTOJOUUUJVG213859,75,2
QAAPEIUSFQI570205,74,2
NHOHVCWKKLP292070,70,1
